"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"1263";209;"direct";"19k5554njc";"CS";"3";-37;"2839";"3_3/CS2"
"1264";210;"direct";"19k5554njc";"CS";"2";-82;"2578";"2_3/CS9"
"1265";211;"direct";"19k5554njc";"CS";"3";-61;"3481";"3_3/CS8"
"1266";212;"direct";"19k5554njc";"CS";"4";-97;"2994";"4_3/CS5"
"1267";213;"direct";"19k5554njc";"CS";"4";-96;"3166";"4_3/CS9"
"1268";214;"direct";"19k5554njc";"CS";"2";37;"3642";"2_3/CS2"
"1580";175;"direct";"1kkguek4q5";"CS";"4";49;"8058";"4_3/CS9"
"1581";176;"direct";"1kkguek4q5";"CS";"1";-66;"4063";"1_3/CS12"
"1582";177;"direct";"1kkguek4q5";"CS";"3";-92;"4353.000000000116";"3_3/CS1"
"1583";178;"direct";"1kkguek4q5";"CS";"4";98;"5862";"4_3/CS5"
"1584";179;"direct";"1kkguek4q5";"CS";"4";51;"8150";"4_3/CS2"
"1585";180;"direct";"1kkguek4q5";"CS";"2";85;"7477";"2_3/CS5"
"1586";181;"direct";"1kkguek4q5";"CS";"4";-71;"10247";"4_3/CS11"
"1587";182;"direct";"1kkguek4q5";"CS";"2";-42;"6068";"2_3/CS10"
"1588";183;"direct";"1kkguek4q5";"CS";"2";-25;"6995";"2_3/CS7"
"1589";184;"direct";"1kkguek4q5";"CS";"1";-19;"6476";"1_3/CS2"
"1590";185;"direct";"1kkguek4q5";"CS";"4";100;"5297";"4_3/CS10"
"1591";186;"direct";"1kkguek4q5";"CS";"3";-80;"4978.999999999884";"3_3/CS9"
"1592";187;"direct";"1kkguek4q5";"CS";"2";-23;"10773";"2_3/CS2"
"1593";188;"direct";"1kkguek4q5";"CS";"4";-75;"4185";"4_3/CS4"
"1594";189;"direct";"1kkguek4q5";"CS";"4";82;"4383.999999999884";"4_3/CS7"
"1595";190;"direct";"1kkguek4q5";"CS";"3";-60;"3829";"3_3/CS3"
"1596";191;"direct";"1kkguek4q5";"CS";"1";-34;"7514";"1_3/CS11"
"1597";192;"direct";"1kkguek4q5";"CS";"1";-78;"4823";"1_3/CS1"
"1598";193;"direct";"1kkguek4q5";"CS";"1";-87;"3159";"1_3/CS8"
"1599";194;"direct";"1kkguek4q5";"CS";"2";35;"4857.999999999884";"2_3/CS6"
"1600";195;"direct";"1kkguek4q5";"CS";"2";-27;"3390";"2_3/CS1"
"1601";196;"direct";"1kkguek4q5";"CS";"3";-24;"4458";"3_3/CS8"
"1602";197;"direct";"1kkguek4q5";"CS";"4";22;"5633";"4_3/CS12"
"1603";198;"direct";"1kkguek4q5";"CS";"3";-29;"4866.999999999884";"3_3/CS7"
"1604";199;"direct";"1kkguek4q5";"CS";"3";-37;"3236.9999999998836";"3_3/CS5"
"1605";200;"direct";"1kkguek4q5";"CS";"3";-47;"2984";"3_3/CS4"
"1606";201;"direct";"1kkguek4q5";"CS";"2";-23;"6445";"2_3/CS9"
"1607";202;"direct";"1kkguek4q5";"CS";"4";-76;"3022";"4_3/CS3"
"1608";203;"direct";"1kkguek4q5";"CS";"3";-83;"3041";"3_3/CS10"
"1609";204;"direct";"1kkguek4q5";"CS";"1";-10;"6005";"1_3/CS6"
"1610";205;"direct";"1kkguek4q5";"CS";"1";15;"3782.9999999998836";"1_3/CS4"
"1611";206;"direct";"1kkguek4q5";"CS";"3";14;"3567";"3_3/CS6"
"1612";207;"direct";"1kkguek4q5";"CS";"1";48;"4858.999999999884";"1_3/CS5"
"1613";208;"direct";"1kkguek4q5";"CS";"1";-14;"6369";"1_3/CS9"
"1614";209;"direct";"1kkguek4q5";"CS";"3";18;"3194";"3_3/CS2"
"1615";210;"direct";"1kkguek4q5";"CS";"2";-87;"3496.9999999998836";"2_3/CS8"
"1616";211;"direct";"1kkguek4q5";"CS";"2";31;"2833";"2_3/CS3"
"1617";212;"direct";"1kkguek4q5";"CS";"1";-32;"3392";"1_3/CS7"
"1618";213;"direct";"1kkguek4q5";"CS";"4";-36;"2955";"4_3/CS8"
"1619";214;"direct";"1kkguek4q5";"CS";"2";-22;"4145";"2_3/CS4"
"1931";175;"direct";"1x6x8bednv";"CS";"3";31;"8118.105000001378";"3_3/CS9"
"1932";176;"direct";"1x6x8bednv";"CS";"3";31;"3754.819999972824";"3_3/CS7"
"1933";177;"direct";"1x6x8bednv";"CS";"1";-2;"4865.300000004936";"1_3/CS11"
"1934";178;"direct";"1x6x8bednv";"CS";"4";-2;"5994.230000011157";"4_3/CS1"
"1935";179;"direct";"1x6x8bednv";"CS";"1";-3;"4309.679999947548";"1_3/CS3"
"1936";180;"direct";"1x6x8bednv";"CS";"3";-3;"4256.079999962822";"3_3/CS2"
"1937";181;"direct";"1x6x8bednv";"CS";"4";-4;"3649.894999980461";"4_3/CS11"
"1938";182;"direct";"1x6x8bednv";"CS";"3";41;"4064.220000000205";"3_3/CS10"
"1939";183;"direct";"1x6x8bednv";"CS";"4";17;"3745.6399999791756";"4_3/CS7"
"1940";184;"direct";"1x6x8bednv";"CS";"4";-1;"3388.8199999928474";"4_3/CS3"
"1941";185;"direct";"1x6x8bednv";"CS";"2";53;"6236.529999994673";"2_3/CS1"
"1942";186;"direct";"1x6x8bednv";"CS";"4";-10;"5091.630000039004";"4_3/CS9"
"1943";187;"direct";"1x6x8bednv";"CS";"4";56;"3447.379999968689";"4_3/CS8"
"1944";188;"direct";"1x6x8bednv";"CS";"3";37;"3184.60999999661";"3_3/CS5"
"1945";189;"direct";"1x6x8bednv";"CS";"1";0;"3519.090000016149";"1_3/CS8"
"1946";190;"direct";"1x6x8bednv";"CS";"1";-2;"6235.404999984894";"1_3/CS5"
"1947";191;"direct";"1x6x8bednv";"CS";"3";-2;"3719.764999987092";"3_3/CS6"
"1948";192;"direct";"1x6x8bednv";"CS";"3";-53;"4770.810000016354";"3_3/CS1"
"1949";193;"direct";"1x6x8bednv";"CS";"1";-4;"3833.4049999830313";"1_3/CS2"
"1950";194;"direct";"1x6x8bednv";"CS";"2";-65;"3305.0550000043586";"2_3/CS3"
"1951";195;"direct";"1x6x8bednv";"CS";"3";26;"3607.654999999795";"3_3/CS4"
"1952";196;"direct";"1x6x8bednv";"CS";"3";68;"3908.9249999960884";"3_3/CS3"
"1953";197;"direct";"1x6x8bednv";"CS";"1";-5;"3761.9549999944866";"1_3/CS10"
"1954";198;"direct";"1x6x8bednv";"CS";"2";-33;"4112.98999999417";"2_3/CS7"
"1955";199;"direct";"1x6x8bednv";"CS";"2";-4;"4945.305000001099";"2_3/CS2"
"1956";200;"direct";"1x6x8bednv";"CS";"2";-24;"4745.140000013635";"2_3/CS4"
"1957";201;"direct";"1x6x8bednv";"CS";"1";-6;"4503.535000025295";"1_3/CS6"
"1958";202;"direct";"1x6x8bednv";"CS";"3";12;"5791.954999964219";"3_3/CS8"
"1959";203;"direct";"1x6x8bednv";"CS";"1";-4;"4329.089999955613";"1_3/CS7"
"1960";204;"direct";"1x6x8bednv";"CS";"2";-2;"4831.369999970775";"2_3/CS9"
"1961";205;"direct";"1x6x8bednv";"CS";"1";-4;"5725.444999989122";"1_3/CS9"
"1962";206;"direct";"1x6x8bednv";"CS";"1";-4;"7656.365000002552";"1_3/CS4"
"1963";207;"direct";"1x6x8bednv";"CS";"2";15;"5313.205000013113";"2_3/CS5"
"1964";208;"direct";"1x6x8bednv";"CS";"4";-3;"3743.0850000237115";"4_3/CS6"
"1965";209;"direct";"1x6x8bednv";"CS";"4";10;"5897.645000019111";"4_3/CS12"
"1966";210;"direct";"1x6x8bednv";"CS";"2";12;"4631.620000000112";"2_3/CS10"
"1967";211;"direct";"1x6x8bednv";"CS";"4";-5;"3288.7050000135787";"4_3/CS5"
"1968";212;"direct";"1x6x8bednv";"CS";"2";35;"3562.5";"2_3/CS6"
"1969";213;"direct";"1x6x8bednv";"CS";"2";-2;"4313.614999991842";"2_3/CS8"
"1970";214;"direct";"1x6x8bednv";"CS";"4";-2;"4074.045000015758";"4_3/CS10"
"2282";175;"direct";"23ovhx752x";"CS";"1";100;"17074.810000005527";"1_3/CS12"
"2283";176;"direct";"23ovhx752x";"CS";"4";28;"5805.89499999769";"4_3/CS7"
"2284";177;"direct";"23ovhx752x";"CS";"2";100;"5514.7799999977";"2_3/CS9"
"2285";178;"direct";"23ovhx752x";"CS";"4";100;"3973.1750000064494";"4_3/CS10"
"2286";179;"direct";"23ovhx752x";"CS";"4";100;"4830.9750000044005";"4_3/CS5"
"2287";180;"direct";"23ovhx752x";"CS";"3";14;"5613.920000003418";"3_3/CS10"
"2288";181;"direct";"23ovhx752x";"CS";"3";14;"5757.205000001704";"3_3/CS5"
"2289";182;"direct";"23ovhx752x";"CS";"3";15;"3754.5000000100117";"3_3/CS9"
"2290";183;"direct";"23ovhx752x";"CS";"3";13;"4441.520000007586";"3_3/CS2"
"2291";184;"direct";"23ovhx752x";"CS";"2";100;"3722.0850000012433";"2_3/CS10"
"2292";185;"direct";"23ovhx752x";"CS";"1";100;"2986.6000000038184";"1_3/CS7"
"2293";186;"direct";"23ovhx752x";"CS";"2";-31;"8418.834999989485";"2_3/CS8"
"2294";187;"direct";"23ovhx752x";"CS";"1";100;"5591.270000004442";"1_3/CS3"
"2295";188;"direct";"23ovhx752x";"CS";"4";99;"3480.5800000031013";"4_3/CS2"
"2296";189;"direct";"23ovhx752x";"CS";"1";100;"3184.210000006715";"1_3/CS9"
"2297";190;"direct";"23ovhx752x";"CS";"1";72;"8255.76000000001";"1_3/CS11"
"2298";191;"direct";"23ovhx752x";"CS";"1";-100;"7231.805000003078";"1_3/CS8"
"2299";192;"direct";"23ovhx752x";"CS";"4";100;"3920.3899999993155";"4_3/CS12"
"2300";193;"direct";"23ovhx752x";"CS";"3";16;"4142.604999986361";"3_3/CS6"
"2301";194;"direct";"23ovhx752x";"CS";"4";100;"7055.000000007567";"4_3/CS6"
"2302";195;"direct";"23ovhx752x";"CS";"1";100;"6052.32000000251";"1_3/CS4"
"2303";196;"direct";"23ovhx752x";"CS";"1";100;"3939.859999998589";"1_3/CS1"
"2304";197;"direct";"23ovhx752x";"CS";"4";100;"3089.3749999959255";"4_3/CS11"
"2305";198;"direct";"23ovhx752x";"CS";"3";16;"3739.6000000007916";"3_3/CS4"
"2306";199;"direct";"23ovhx752x";"CS";"2";77;"4595.690000001923";"2_3/CS4"
"2307";200;"direct";"23ovhx752x";"CS";"2";99;"3997.3250000039116";"2_3/CS2"
"2308";201;"direct";"23ovhx752x";"CS";"2";100;"2881.3049999880604";"2_3/CS3"
"2309";202;"direct";"23ovhx752x";"CS";"4";100;"4410.700000007637";"4_3/CS4"
